run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
SRR23716749	SRP425920	SAMN33598366	SRS16961043	SRX19577959	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082409		SINGLE	OTHER	GENOMIC	other	75098	18762370		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082409: mild group 12 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082409_r1	GSM7082409_r1	1419489	7d0460f16917dddf9aa7898fff62650e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/049/SRR23716749/SRR23716749.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/049/SRR23716749/SRR23716749.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/049/SRR23716749/SRR23716749.fastq.gz							4536117	9ba47ef800139732bcda7865e354242d	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/049/SRR23716749	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/049/SRR23716749	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/049/SRR23716749	GSM7082409		mild group 12		2023-04-09
SRR23716753	SRP425920	SAMN33598375	SRS16961038	SRX19577955	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082400		SINGLE	OTHER	GENOMIC	other	75044	18752280		2023-04-09	2023-04-11	Illumina MiSeq sequencing: GSM7082400: mild group 3 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082400_r1	GSM7082400_r1	1514241	3ff3cd94e478afd48f07d5147335eb4c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/053/SRR23716753/SRR23716753.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/053/SRR23716753/SRR23716753.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/053/SRR23716753/SRR23716753.fastq.gz							4745884	31816b047723a1d344d687c99fc6a810	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/053/SRR23716753	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/053/SRR23716753	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/053/SRR23716753	GSM7082400		mild group 3		2023-04-09
SRR23716724	SRP425920	SAMN33598347	SRS16961068	SRX19577984	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082428		SINGLE	OTHER	GENOMIC	other	75051	18754960		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082428: severe group 14 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082428_r1	GSM7082428_r1	1436560	0bef0264c62bac70e3e60c3ff15d8a0f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/024/SRR23716724/SRR23716724.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/024/SRR23716724/SRR23716724.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/024/SRR23716724/SRR23716724.fastq.gz							4617090	856ad607b64425d7601f0b74cd16573d	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/024/SRR23716724	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/024/SRR23716724	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/024/SRR23716724	GSM7082428		severe group 14		2023-04-09
SRR23716725	SRP425920	SAMN33598360	SRS16961066	SRX19577983	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082415		SINGLE	OTHER	GENOMIC	other	150108	37500180		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082415: severe group 1 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082415_r1	GSM7082415_r1	3434977	c9b8cc943c4bb46ec2f6f8e906dd3dff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/025/SRR23716725/SRR23716725.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/025/SRR23716725/SRR23716725.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/025/SRR23716725/SRR23716725.fastq.gz							9510858	07d8a0b61e44a00ae8d318e91dfac452	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/025/SRR23716725	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/025/SRR23716725	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/025/SRR23716725	GSM7082415		severe group 1		2023-04-09
SRR23716727	SRP425920	SAMN33598351	SRS16961064	SRX19577981	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082424		SINGLE	OTHER	GENOMIC	other	64400	16089260		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082424: severe group 10 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082424_r1	GSM7082424_r1	1101641	689a39c2bfc71fcad96f587341c43853	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/027/SRR23716727/SRR23716727.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/027/SRR23716727/SRR23716727.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/027/SRR23716727/SRR23716727.fastq.gz							3836657	4e5795081e9019d5d4ff2db544df70ba	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/027/SRR23716727	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/027/SRR23716727	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/027/SRR23716727	GSM7082424		severe group 10		2023-04-09
SRR23716731	SRP425920	SAMN33598355	SRS16961060	SRX19577977	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082420		SINGLE	OTHER	GENOMIC	other	75054	18747050		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082420: severe group 6 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082420_r1	GSM7082420_r1	1200980	9c2bcad8d346e42ed712dd0645ac7b76	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/031/SRR23716731/SRR23716731.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/031/SRR23716731/SRR23716731.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/031/SRR23716731/SRR23716731.fastq.gz							4759893	4975e61ac631df474e7865f395c72fe0	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/031/SRR23716731	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/031/SRR23716731	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/031/SRR23716731	GSM7082420		severe group 6		2023-04-09
SRR23716733	SRP425920	SAMN33598338	SRS16961058	SRX19577975	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082437		SINGLE	OTHER	GENOMIC	other	75050	18746400		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082437: severe group 23 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082437_r1	GSM7082437_r1	1436182	5d0638cda9bcc94dff4cab3f4bbb9d4e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/033/SRR23716733/SRR23716733.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/033/SRR23716733/SRR23716733.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/033/SRR23716733/SRR23716733.fastq.gz							4753882	af2e9c5ee3c7941b1d58b6cee99f5ecf	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/033/SRR23716733	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/033/SRR23716733	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/033/SRR23716733	GSM7082437		severe group 23		2023-04-09
SRR23716736	SRP425920	SAMN33598344	SRS16961055	SRX19577972	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082431		SINGLE	OTHER	GENOMIC	other	150078	37500110		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082431: severe group 17 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082431_r1	GSM7082431_r1	3067459	5f7ab14a6bf7f3a6d4352a612f9e21c0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/036/SRR23716736/SRR23716736.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/036/SRR23716736/SRR23716736.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/036/SRR23716736/SRR23716736.fastq.gz							9220828	6096e04e30a2fd64c5b4d7b1d7426c22	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/036/SRR23716736	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/036/SRR23716736	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/036/SRR23716736	GSM7082431		severe group 17		2023-04-09
SRR23716744	SRP425920	SAMN33598371	SRS16961047	SRX19577964	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082404		SINGLE	OTHER	GENOMIC	other	75059	18758330		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082404: mild group 7 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082404_r1	GSM7082404_r1	1515767	7ceafb7ec0b4f812274990697f76f93a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/044/SRR23716744/SRR23716744.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/044/SRR23716744/SRR23716744.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/044/SRR23716744/SRR23716744.fastq.gz							4543531	6a8f78ee758fee4207a9b54f5c8c9aca	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/044/SRR23716744	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/044/SRR23716744	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/044/SRR23716744	GSM7082404		mild group 7		2023-04-09
SRR23716745	SRP425920	SAMN33598370	SRS16961046	SRX19577963	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082405		SINGLE	OTHER	GENOMIC	other	75050	18753000		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082405: mild group 8 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082405_r1	GSM7082405_r1	1305652	e029e98053c28c1d9f1690d22206c8c3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/045/SRR23716745/SRR23716745.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/045/SRR23716745/SRR23716745.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/045/SRR23716745/SRR23716745.fastq.gz							4667857	442afda1b0bca771b3dfdda96d74046f	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/045/SRR23716745	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/045/SRR23716745	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/045/SRR23716745	GSM7082405		mild group 8		2023-04-09
SRR23716751	SRP425920	SAMN33598364	SRS16961040	SRX19577957	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082411		SINGLE	OTHER	GENOMIC	other	75061	18756080		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082411: mild group 14 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082411_r1	GSM7082411_r1	1501308	5e992f6120f9969fde6a9b88528f8713	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/051/SRR23716751/SRR23716751.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/051/SRR23716751/SRR23716751.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/051/SRR23716751/SRR23716751.fastq.gz							4615090	c213da1bbc523cd5507d110c37003fd6	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/051/SRR23716751	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/051/SRR23716751	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/051/SRR23716751	GSM7082411		mild group 14		2023-04-09
SRR23716754	SRP425920	SAMN33598374	SRS16961037	SRX19577954	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082401		SINGLE	OTHER	GENOMIC	other	75054	18752720		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082401: mild group 4 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082401_r1	GSM7082401_r1	1450916	bd738662b9b7b107c3f5485983117990	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/054/SRR23716754/SRR23716754.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/054/SRR23716754/SRR23716754.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/054/SRR23716754/SRR23716754.fastq.gz							4577730	f7d7760b8359685ebc3900e59777ce7b	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/054/SRR23716754	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/054/SRR23716754	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/054/SRR23716754	GSM7082401		mild group 4		2023-04-09
SRR23716756	SRP425920	SAMN33598376	SRS16961034	SRX19577952	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082399		SINGLE	OTHER	GENOMIC	other	75057	18754670		2023-04-09	2023-04-11	Illumina MiSeq sequencing: GSM7082399: mild group 2 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082399_r1	GSM7082399_r1	1780682	fdec6e9268fc1e4f5368d01ebbc27f3d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/056/SRR23716756/SRR23716756.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/056/SRR23716756/SRR23716756.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/056/SRR23716756/SRR23716756.fastq.gz							4781460	a9567f0f68e58b4fa8b45acd1052fc31	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/056/SRR23716756	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/056/SRR23716756	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/056/SRR23716756	GSM7082399		mild group 2		2023-04-09
