broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	INSDC secondary accession	NCBI submission package	organism	tissue	source_name	group	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	Naval Medical University	SAMN33598366	SAMN33598366	GSM7082409	mild group 12	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961043&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961043&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961043	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598375	SAMN33598375	GSM7082400	mild group 3	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961038&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961038&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961038	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598347	SAMN33598347	GSM7082428	severe group 14	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961068&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961068&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961068	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598360	SAMN33598360	GSM7082415	severe group 1	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961066&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961066&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961066	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598351	SAMN33598351	GSM7082424	severe group 10	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961064&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961064&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961064	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598355	SAMN33598355	GSM7082420	severe group 6	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961060&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961060&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961060	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598338	SAMN33598338	GSM7082437	severe group 23	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961058&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961058&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961058	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598344	SAMN33598344	GSM7082431	severe group 17	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961055&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961055&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961055	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598371	SAMN33598371	GSM7082404	mild group 7	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961047&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961047&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961047	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598370	SAMN33598370	GSM7082405	mild group 8	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961046&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961046&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961046	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598364	SAMN33598364	GSM7082411	mild group 14	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961040&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961040&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961040	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598374	SAMN33598374	GSM7082401	mild group 4	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961037&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961037&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961037	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598376	SAMN33598376	GSM7082399	mild group 2	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961034&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961034&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961034	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598349	SAMN33598349	GSM7082426	severe group 12	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961067&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961067&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961067	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598352	SAMN33598352	GSM7082423	severe group 9	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961063&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961063&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961063	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598356	SAMN33598356	GSM7082419	severe group 5	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961059&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961059&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961059	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598343	SAMN33598343	GSM7082432	severe group 18	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961057&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961057&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961057	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598345	SAMN33598345	GSM7082430	severe group 16	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961054&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961054&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961054	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598346	SAMN33598346	GSM7082429	severe group 15	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961053&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961053&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961053	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598359	SAMN33598359	GSM7082416	severe group 2	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961049&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961049&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961049	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598373	SAMN33598373	GSM7082402	mild group 5	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961050&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961050&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961050	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598369	SAMN33598369	GSM7082406	mild group 9	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961045&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961045&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961045	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598365	SAMN33598365	GSM7082410	mild group 13	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961041&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961041&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961041	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598363	SAMN33598363	GSM7082412	mild group 15	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961039&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961039&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961039	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598372	SAMN33598372	GSM7082403	mild group 6	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961035&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961035&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961035	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598377	SAMN33598377	GSM7082398	mild group 1	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961036&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961036&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961036	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
